CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
608,1,1,41,1,83807.86,1,0,1,112542.58,0
699,2,1,39,1,0.0,2,0,0,93826.63,0
850,1,1,43,2,125510.82,1,1,1,79084.1,0
822,2,0,50,7,0.0,2,1,1,10062.8,0
501,2,0,44,4,142051.07,2,0,1,74940.5,0
684,2,0,27,2,134603.88,1,1,1,71725.73,0
528,2,0,31,6,102016.72,2,0,0,80181.12,0
497,1,0,24,3,0.0,2,1,0,76390.01,0
476,2,1,34,10,0.0,2,1,0,26260.98,0
549,2,1,25,5,0.0,2,0,0,190857.79,0
635,1,1,35,7,0.0,2,1,1,65951.65,0
616,0,0,45,3,143129.41,2,0,1,64327.26,0
549,1,1,24,9,0.0,2,1,1,14406.41,0
587,1,0,45,6,0.0,1,0,0,158684.81,0
726,2,1,24,6,0.0,2,1,1,54724.03,0
732,2,0,41,8,0.0,2,1,1,170886.17,0
636,1,1,32,8,0.0,2,1,0,138555.46,0
669,2,0,46,3,0.0,2,0,1,8487.75,0
846,2,1,38,5,0.0,1,1,1,187616.16,0
577,2,0,25,3,0.0,2,0,1,124508.29,0
756,0,0,36,2,136815.64,1,1,1,170041.95,0
571,2,0,44,9,0.0,2,0,0,38433.35,0
574,0,1,43,3,141349.43,1,1,1,100187.43,0
411,2,0,29,0,59697.17,2,1,1,53483.21,0
533,2,0,36,7,85311.7,1,0,1,156731.91,0
553,0,0,41,9,110112.54,2,0,0,81898.81,0
520,1,1,42,6,0.0,2,1,1,34410.55,0
722,1,1,29,9,0.0,2,1,1,142033.07,0
490,1,0,31,3,145260.23,1,0,1,114066.77,0
804,1,0,33,7,76548.6,1,0,1,98453.45,0
850,2,0,36,7,0.0,1,1,1,40812.9,0
582,0,0,41,6,70349.48,2,0,1,178074.04,0
472,1,0,40,4,0.0,1,1,0,70154.22,0
776,0,1,32,4,109421.13,2,1,1,126517.46,0
550,0,0,38,2,103391.38,1,0,1,90878.13,0
776,0,1,37,2,103769.22,2,1,0,194099.12,0
698,0,0,44,10,116363.37,2,1,0,198059.16,0
585,0,0,36,5,146050.97,2,0,0,86424.57,0
788,2,1,33,5,0.0,2,0,0,116978.19,0
619,2,0,43,1,125211.92,1,1,1,113410.49,0
656,2,0,45,5,127864.4,1,1,0,87107.57,0
725,0,0,19,0,75888.2,1,0,0,45613.75,0
614,2,0,51,4,40685.92,1,1,1,46775.28,0
742,0,0,35,5,136857.0,1,0,0,84509.57,0
687,0,1,27,9,152328.88,2,0,0,126494.82,0
555,1,0,33,1,56084.69,2,0,0,178798.13,0
603,0,0,26,4,109166.37,1,1,1,92840.67,0
751,0,1,36,6,169831.46,2,1,1,27758.36,0
581,0,1,34,1,101633.04,1,1,0,110431.51,0
735,0,0,43,10,123180.01,2,1,1,196673.28,0
661,0,1,35,5,150725.53,2,0,1,113656.85,0
675,2,1,21,8,98373.26,1,1,0,18203.0,0
813,2,0,29,6,0.0,1,1,0,33953.87,0
657,1,1,37,0,163607.18,1,0,1,44203.55,0
604,0,1,25,5,157780.84,2,1,1,58426.81,0
519,2,0,36,9,0.0,2,0,1,145562.4,0
735,2,1,21,1,178718.19,2,1,0,22388.0,0
678,2,1,32,9,0.0,1,1,1,148210.64,0
757,1,0,33,5,77253.22,1,0,1,194239.63,0
416,0,1,41,10,122189.66,2,1,0,98301.61,0
665,2,1,34,1,96645.54,2,0,0,171413.66,0
543,2,1,36,3,0.0,2,0,0,26019.59,0
506,2,1,34,4,90307.62,1,1,1,159235.29,0
493,2,1,46,4,0.0,2,1,0,1907.66,0
729,2,0,30,9,0.0,2,1,0,151869.35,0
635,0,1,28,3,81623.67,2,1,1,156791.36,0
808,2,0,45,7,118626.55,2,1,0,147132.46,0
524,2,1,36,10,0.0,2,1,0,109614.57,0
769,2,0,29,8,0.0,2,1,1,172290.61,0
730,1,0,42,4,0.0,2,0,1,85982.47,0
515,1,0,35,10,176273.95,1,0,1,121277.78,0
773,1,0,41,9,102827.44,1,0,1,64595.25,0
814,0,0,29,8,97086.4,2,1,1,197276.13,0
710,1,0,22,8,0.0,2,0,0,99645.04,0
413,2,0,34,9,0.0,2,0,0,6534.18,0
665,2,1,40,6,0.0,1,1,1,161848.03,0
623,2,1,44,6,0.0,2,0,0,167162.43,0
738,2,0,31,9,82674.15,1,1,0,41970.72,0
528,1,0,36,7,0.0,2,1,0,60536.56,0
582,0,0,32,1,88938.62,1,1,1,10054.53,0
785,0,1,36,2,99806.85,1,0,1,36976.52,0
605,1,0,33,5,150092.8,1,0,0,71862.79,0
685,0,0,30,3,90536.81,1,0,1,63082.88,0
538,0,0,39,7,108055.1,2,1,0,27231.26,0
562,2,0,42,2,100238.35,1,0,0,86797.41,0
675,1,0,36,9,106190.55,1,0,1,22994.32,0
628,0,1,30,9,132351.29,2,1,1,74169.13,0
668,0,1,37,6,167864.4,1,1,0,115638.29,0
506,2,1,41,1,0.0,2,1,0,31766.3,0
699,0,0,34,4,185173.81,2,1,0,120834.48,0
828,2,0,34,8,129433.34,2,0,0,38131.77,0
674,1,0,39,6,120193.42,1,0,0,100130.95,0
656,2,1,39,6,0.0,2,1,0,141069.88,0
684,0,1,48,10,126384.42,1,1,1,198129.36,0
625,2,1,28,3,0.0,1,0,0,183646.41,0
828,2,1,41,7,0.0,2,1,0,171378.77,0
770,2,0,24,9,101827.07,1,1,0,167256.35,0
758,2,1,34,3,0.0,2,1,1,124226.16,0
795,0,1,33,9,130862.43,1,1,1,114935.21,0
687,2,0,38,9,122570.87,1,1,1,35608.88,0
686,2,0,25,1,0.0,2,0,1,16459.37,0
789,0,0,39,7,124828.46,2,1,1,124411.08,0
589,0,1,50,5,144895.05,2,1,1,34941.23,0
461,0,1,34,5,63663.93,1,0,1,167784.28,0
637,2,0,40,2,133463.1,1,0,1,93165.34,0
756,0,0,44,10,137452.09,1,1,0,189543.9,0
663,2,0,34,7,0.0,2,1,1,180427.24,0
682,2,1,43,5,125851.93,1,1,1,193318.33,0
485,1,1,21,5,113157.22,1,1,1,54141.5,0
635,1,1,29,8,138296.94,2,1,0,141075.51,0
650,2,0,37,5,106967.18,1,0,0,24495.03,0
735,2,0,44,9,120681.63,1,1,0,74836.34,0
416,2,0,32,0,0.0,2,0,1,878.87,0
754,1,1,32,7,0.0,2,1,0,89520.75,0
716,1,0,42,8,0.0,2,1,0,180800.42,0
539,2,0,37,2,127609.59,1,1,0,98646.22,0
614,2,1,43,6,0.0,2,1,1,109041.53,0
758,2,1,33,7,0.0,2,0,0,82996.47,0
586,1,1,28,2,0.0,2,1,1,92067.35,0
631,0,1,33,4,123246.7,1,0,0,112687.57,0
717,1,1,22,6,101060.25,1,0,1,84699.56,0
684,2,0,30,2,0.0,2,1,0,83473.82,0
800,2,1,49,7,108007.36,1,0,0,47125.11,0
721,1,1,36,2,0.0,2,1,1,106977.8,0
660,0,0,31,9,125189.75,2,1,1,139874.43,0
615,1,1,41,9,109013.23,1,1,0,196499.96,0
682,0,0,24,9,57929.81,2,0,0,53134.3,0
484,2,1,29,4,130114.39,1,1,0,164017.89,0
628,0,0,27,5,95826.49,2,1,0,155996.96,0
578,2,0,30,4,169462.09,1,1,0,112187.11,0
512,2,0,40,5,0.0,2,1,1,146457.83,0
484,1,1,35,7,133868.21,1,1,1,27286.1,0
510,2,1,30,0,0.0,2,1,1,130553.47,0
606,0,0,36,5,190479.48,2,0,0,179351.89,0
597,1,1,40,8,101993.12,1,0,1,94774.12,0
850,1,1,45,2,122311.21,1,1,1,19482.5,0
778,0,1,45,1,162150.42,2,1,0,174531.27,0
636,2,0,42,2,0.0,2,1,1,55470.78,0
514,2,0,32,8,0.0,2,1,0,95857.18,0
730,2,1,39,1,99010.67,1,1,0,194945.8,0
525,1,1,37,0,0.0,1,0,1,131521.72,0
616,1,0,30,5,0.0,2,0,1,196108.51,0
687,0,1,34,7,111388.18,2,1,0,148564.76,0
512,2,1,36,3,84327.77,2,1,0,17675.36,0
479,2,0,40,1,0.0,2,0,0,114996.43,0
601,2,0,32,8,93012.89,1,1,0,86957.42,0
580,1,0,29,9,61710.44,2,1,0,128077.8,0
807,2,0,35,3,174790.15,1,1,1,600.36,0
616,1,1,32,6,0.0,2,1,1,43001.46,0
721,0,0,37,3,107720.64,1,1,1,158591.12,0
521,2,0,35,6,96423.84,1,1,0,10488.44,0
850,1,0,30,2,141040.01,1,1,1,5978.2,0
759,2,0,42,4,105420.18,1,0,1,121409.06,0
512,1,0,33,3,176666.62,1,1,0,94670.77,0
550,2,0,37,3,0.0,1,1,1,179670.31,0
618,2,0,34,5,134954.53,1,1,1,151954.39,0
671,2,0,45,2,106376.85,1,0,1,158264.62,0
689,0,0,33,2,161814.64,2,1,0,169381.9,0
603,2,0,31,8,0.0,2,1,1,169915.02,0
620,2,1,41,9,0.0,2,0,0,88852.47,0
676,2,1,34,1,63095.01,1,1,1,40645.81,0
572,0,0,26,4,118287.01,2,0,0,60427.3,0
695,2,0,46,7,49512.55,1,1,0,133007.34,0
730,1,1,33,9,0.0,2,0,0,176576.62,0
726,2,1,31,9,114722.05,2,1,1,98178.57,0
514,1,0,30,7,0.0,1,0,1,125010.24,0
567,2,0,42,2,0.0,2,1,1,167984.61,0
670,2,0,37,4,170557.91,2,1,0,198252.88,0
694,2,1,30,9,0.0,2,1,1,26960.31,0
594,0,1,29,3,130830.22,1,1,0,61048.53,0
610,2,0,40,0,0.0,2,1,0,62232.6,0
512,2,1,37,1,0.0,2,0,1,156105.03,0
767,0,0,20,3,119714.25,2,0,1,150135.38,0
712,2,1,29,2,0.0,1,1,1,144375.0,0
703,2,0,28,2,81173.83,2,0,1,162812.16,0
662,1,0,38,4,0.0,2,1,0,136259.65,0
725,0,1,39,5,116803.8,1,1,0,124052.97,0
703,2,0,37,8,105961.68,2,0,1,74158.8,0
523,1,0,34,7,0.0,2,1,0,62030.06,0
772,0,0,26,7,152400.51,2,1,0,79414.0,0
545,2,1,26,1,0.0,2,1,1,199638.56,0
634,0,0,24,8,103097.85,1,1,1,157577.29,0
771,0,1,36,5,77846.9,1,0,0,99805.99,0
587,1,1,34,1,0.0,2,1,1,97932.68,0
544,0,0,37,2,79731.91,1,1,1,57558.95,0
696,1,0,28,8,0.0,1,0,0,176713.47,0
766,1,0,41,0,0.0,2,0,1,34283.23,0
727,2,0,34,10,0.0,2,1,1,198637.34,0
671,0,1,34,6,37266.67,2,0,0,156917.12,0
693,2,1,30,6,127992.25,1,1,1,50457.2,0
850,0,0,38,3,54901.01,1,1,1,140075.55,0
732,0,0,42,9,108748.08,2,1,1,65323.11,0
726,1,1,48,6,99906.19,1,1,0,64323.24,0
557,2,1,32,6,184686.41,2,1,0,14956.44,0
682,2,1,26,0,110654.02,1,0,1,111879.21,0
738,1,0,31,9,79019.8,1,1,1,18606.23,0
531,1,1,36,9,99240.51,1,1,0,123137.01,0
498,2,0,34,2,0.0,2,1,1,148528.24,0
651,2,0,36,7,0.0,2,1,0,13898.31,0
791,0,1,35,7,52436.2,1,1,0,161051.75,0
650,1,0,41,9,0.0,2,0,1,191599.67,0
811,0,1,34,1,149297.19,2,1,1,186339.74,0
707,2,0,30,8,0.0,2,1,0,33159.37,0
712,0,0,28,4,145605.44,1,0,1,93883.53,0
706,1,1,37,7,0.0,2,1,1,110899.3,0
777,2,1,53,10,0.0,2,1,0,189992.97,0
646,2,0,35,6,84026.86,1,0,1,164255.69,0
782,2,0,39,8,0.0,2,1,1,33949.67,0
775,1,0,29,10,0.0,2,1,1,68143.93,0
807,2,0,42,7,118274.71,1,1,1,25885.72,0
799,2,1,22,8,174185.98,2,0,1,192633.85,0
675,2,0,40,7,113208.86,2,1,0,34577.36,0
602,1,0,29,5,103907.28,1,1,0,161229.84,0
475,2,1,32,8,119023.28,1,1,0,100816.29,0
744,1,1,26,5,166297.89,1,1,1,181694.44,0
588,1,0,34,10,0.0,2,1,0,79078.91,0
703,0,0,42,9,63227.0,1,0,1,137316.32,0
747,1,1,41,5,94521.17,2,1,0,194926.86,0
583,2,0,27,7,0.0,2,1,0,51285.49,0
