Text,Income,Credit_Score,Rating,Loan_Amount,DTI_Ratio,Employment_Status,Approval
I want to make home improvements like installing solar panels.,197392,389,Poor,111604,22.14,1,0
"I need a loan for home renovation, including a kitchen remodel.",44561,523,Poor,34118,45.44,1,0
I need funds to buy new furniture and appliances for my house.,190363,729,Good,118757,10.22,0,0
I need a loan to start a small business.,61853,732,Good,19210,44.13,1,1
I need a loan to repair my car after an accident.,108236,404,Poor,50797,10.24,1,0
I need financial help to cover maternity and delivery expenses.,110165,570,Poor,61217,7.12,1,1
I need a loan to cover emergency expenses after a natural disaster.,81024,403,Poor,19217,36.92,0,0
I need a loan to pay for a much-needed vacation after years of saving.,62638,679,Good,14730,45.15,0,0
I need money to purchase updated equipment for my photography business.,179680,475,Poor,65175,22.26,1,0
I want to start a small roadside food stall and need funds for equipment.,119471,576,Poor,91198,39.29,1,0
I want to pay off my payday loans and switch to a lower-interest option.,34663,534,Poor,27379,20.49,0,0
I need a loan to pay for legal fees related to my business license.,90186,367,Poor,42245,20.87,1,0
I need financial support to pay for my son's football training program.,123712,769,Very Good,35718,11.61,1,1
I need money to pay for a vocational training course in plumbing.,167159,569,Poor,113311,25.91,0,0
I need a loan to pay for a much-needed vacation after years of saving.,77493,441,Poor,33343,49.54,1,0
I want to expand my small online clothing store.,120864,690,Good,62348,36.45,0,0
I need a loan to start a small business.,89045,812,Excellent,67542,18.76,1,0
I need money to purchase a food truck and start my own business.,187496,819,Excellent,53143,23.95,1,1
I need a loan to pay for my son's medical treatment and therapy.,62349,843,Excellent,40252,8.08,0,0
I need a loan to relocate to a new city after getting a job offer.,83143,380,Poor,48966,12.76,0,0
I want to expand my small online clothing store.,159645,428,Poor,87474,8.4,0,0
I need funds to stock inventory for my new retail store.,89483,840,Excellent,56461,50.01,1,0
I need money to launch my own tech startup focused on AI solutions.,72730,619,Fair,45019,42.83,0,0
I need a loan to pay for a down payment on my first home.,155679,762,Very Good,33493,8.31,1,1
I want to expand my small online clothing store.,108627,321,Poor,73603,40.1,1,0
I want to expand my small online clothing store.,28234,638,Fair,17847,34.15,1,0
I need money to purchase specialized tools for my auto repair shop.,83700,784,Very Good,25957,37.85,1,1
I need money to refinance my home loan at a lower interest rate.,192748,741,Very Good,112038,14.64,0,0
I want to start a small roadside food stall and need funds for equipment.,34200,400,Poor,14193,26.23,0,0
I want to make home improvements like installing solar panels.,85183,496,Poor,59800,20.5,1,0
I need funds to expand my home-based bakery to a physical store.,68100,585,Fair,17371,51.86,1,0
I need a loan to pay for a down payment on my first home.,164264,400,Poor,86477,5.06,1,0
I need funds to enroll in a professional certification program.,81965,470,Poor,32826,38.59,0,0
I need a loan to repair my car after an accident.,125130,360,Poor,50672,12.62,1,0
I need funds to pay for my pilot training program.,89521,765,Very Good,56444,26.47,0,0
I need financial help to pay off my high-interest payday loans.,69780,603,Fair,4832,27.61,1,1
I need a loan to relocate to a new city after getting a job offer.,153124,382,Poor,9981,11.22,1,0
I need a loan to finance my MBA and career advancement.,125847,422,Poor,33271,33.64,1,0
I need a loan to cover emergency expenses after a natural disaster.,129897,835,Excellent,35179,19.81,1,1
I need funds to launch my handmade jewelry brand online.,82570,571,Poor,9577,37.47,0,0
I need financial help to cover unexpected veterinary bills for my pet.,102883,374,Poor,61068,5.45,1,0
I need money to purchase updated equipment for my photography business.,160937,518,Poor,35760,23.71,1,0
I need a loan to pay for a down payment on my first home.,162401,609,Fair,106788,27.76,1,0
I need money to purchase a food truck and start my own business.,193903,406,Poor,70328,7.12,1,0
I want to make home improvements like installing solar panels.,165024,459,Poor,37930,13.85,1,0
I need a loan to support my side business selling handmade candles.,73371,570,Poor,33016,51.96,0,0
"I need financial help to cover wedding expenses, including the venue and catering.",44195,733,Good,3889,52.34,1,0
I need money to buy new tools and materials for my woodworking business.,54293,568,Poor,29956,28.71,0,0
